BGE
0.406
0.344
0.205
0.537
0.067
0.156
0.079
0.03
0.137
0.348
0.39
0.05
0.283
0.375
0.24
0.377
0.04
0.2
0.26
0.46
0.18
0.12
0.13
0.05
0.28
0.13
0.29
0.03
0.11
0.17
0.29
0.24
